RF,MNB,BagMNB,DT,BagDT,LSVC,BagLSVC,SVC,BagSVC
78.6666666667,58.6666666667,58.0,73.0,64.3333333333,50.3333333333,58.3333333333,71.0,68.6666666667
83.0,58.6666666667,59.0,78.0,77.0,49.0,51.6666666667,71.0,69.0
80.0,58.6666666667,58.3333333333,56.6666666667,72.6666666667,49.0,50.3333333333,71.0,73.3333333333
75.6666666667,58.6666666667,58.6666666667,48.3333333333,78.6666666667,49.3333333333,47.0,71.0,71.3333333333
79.6666666667,58.6666666667,60.6666666667,74.0,73.0,48.3333333333,49.6666666667,71.0,71.3333333333
79.0,58.6666666667,58.6666666667,71.3333333333,63.3333333333,49.0,46.6666666667,71.0,71.3333333333
81.0,58.6666666667,56.0,75.3333333333,82.3333333333,49.3333333333,48.0,71.0,66.3333333333
82.3333333333,58.6666666667,61.3333333333,71.0,79.3333333333,47.0,51.0,71.0,73.0
81.3333333333,58.6666666667,58.6666666667,84.3333333333,67.0,48.6666666667,48.0,71.0,66.3333333333
80.6666666667,58.6666666667,58.6666666667,80.6666666667,77.6666666667,48.6666666667,47.6666666667,71.0,62.0
77.3333333333,58.6666666667,58.0,85.0,83.6666666667,50.0,50.3333333333,71.0,62.3333333333
82.0,58.6666666667,59.0,78.6666666667,75.3333333333,48.6666666667,46.3333333333,71.0,71.3333333333
77.6666666667,58.6666666667,58.0,84.6666666667,73.3333333333,50.0,48.3333333333,71.0,65.0
78.0,58.6666666667,58.3333333333,47.6666666667,76.0,49.6666666667,49.6666666667,71.0,69.3333333333
81.6666666667,58.6666666667,58.6666666667,73.3333333333,76.3333333333,49.0,48.6666666667,71.0,71.0
80.0,58.6666666667,52.0,79.3333333333,67.6666666667,50.0,45.3333333333,71.0,69.6666666667
81.6666666667,58.6666666667,58.0,71.6666666667,76.3333333333,50.0,53.0,71.0,72.3333333333
80.6666666667,58.6666666667,59.6666666667,70.6666666667,83.0,50.3333333333,51.0,71.0,70.6666666667
81.3333333333,58.6666666667,53.0,58.0,79.6666666667,49.0,50.0,71.0,74.6666666667
78.6666666667,58.6666666667,59.3333333333,58.0,78.0,48.6666666667,50.3333333333,71.0,72.6666666667
80.0,58.6666666667,54.3333333333,50.3333333333,78.3333333333,51.3333333333,48.3333333333,71.0,66.6666666667
82.3333333333,58.6666666667,58.3333333333,80.6666666667,82.3333333333,48.3333333333,51.0,71.0,62.3333333333
74.0,58.6666666667,59.0,64.0,77.0,49.0,50.0,71.0,70.0
81.0,58.6666666667,56.6666666667,50.0,76.6666666667,49.3333333333,47.6666666667,71.0,70.0
82.6666666667,58.6666666667,60.0,78.6666666667,72.0,49.0,49.0,71.0,70.6666666667
77.3333333333,58.6666666667,59.6666666667,70.3333333333,69.3333333333,50.0,49.3333333333,71.0,72.3333333333
82.0,58.6666666667,57.6666666667,74.0,68.0,48.6666666667,46.6666666667,71.0,68.3333333333
82.6666666667,58.6666666667,59.0,70.6666666667,85.0,49.3333333333,51.6666666667,71.0,67.6666666667
80.0,58.6666666667,58.3333333333,57.0,77.0,50.3333333333,55.6666666667,71.0,66.3333333333
80.6666666667,58.6666666667,60.3333333333,68.6666666667,70.6666666667,48.3333333333,47.6666666667,71.0,69.6666666667
78.0,58.6666666667,60.3333333333,79.3333333333,80.6666666667,49.0,50.6666666667,71.0,65.6666666667
78.3333333333,58.6666666667,59.3333333333,64.6666666667,71.6666666667,50.3333333333,50.6666666667,71.0,69.0
77.6666666667,58.6666666667,58.6666666667,67.3333333333,75.3333333333,48.6666666667,50.0,71.0,60.3333333333
79.0,58.6666666667,59.6666666667,76.3333333333,69.0,50.0,51.0,71.0,66.6666666667
82.6666666667,58.6666666667,57.6666666667,79.3333333333,75.0,50.0,48.3333333333,71.0,65.0
80.3333333333,58.6666666667,59.0,51.0,77.3333333333,48.6666666667,49.0,71.0,72.3333333333
80.3333333333,58.6666666667,59.0,79.0,77.3333333333,46.6666666667,52.3333333333,71.0,68.3333333333
78.0,58.6666666667,56.3333333333,65.3333333333,78.0,49.3333333333,48.6666666667,71.0,72.0
78.0,58.6666666667,57.3333333333,64.3333333333,79.0,48.3333333333,49.6666666667,71.0,69.6666666667
80.6666666667,58.6666666667,59.6666666667,71.0,76.6666666667,49.0,50.3333333333,71.0,73.0
79.3333333333,58.6666666667,59.0,85.6666666667,72.6666666667,48.6666666667,54.0,71.0,58.0
81.3333333333,58.6666666667,59.0,58.3333333333,77.0,51.0,51.0,71.0,67.0
76.3333333333,58.6666666667,59.0,74.0,49.0,49.6666666667,49.0,71.0,73.0
78.0,58.6666666667,58.0,79.0,71.0,53.0,51.3333333333,71.0,66.3333333333
76.6666666667,58.6666666667,59.3333333333,86.3333333333,74.3333333333,50.0,48.0,71.0,67.6666666667
79.6666666667,58.6666666667,59.6666666667,79.6666666667,79.3333333333,50.0,45.0,71.0,64.3333333333
81.6666666667,58.6666666667,59.0,79.6666666667,74.3333333333,49.3333333333,48.0,71.0,65.0
78.3333333333,58.6666666667,59.3333333333,79.0,76.3333333333,48.6666666667,49.3333333333,71.0,74.6666666667
83.6666666667,58.6666666667,58.3333333333,86.3333333333,79.3333333333,50.0,50.0,71.0,68.3333333333
80.0,58.6666666667,58.6666666667,70.0,82.0,48.6666666667,49.6666666667,71.0,66.0
